DATE,MEMO NO,VEHICLE,PARTICULARS,SALE/OTH,BALANCE
15-01-2024,,,OPENING BALANCE,9598208.95,9598208.95
15-01-2024,44717.0,ODO9K0429,DIESEL     145.26  96.38,14000.0,9612208.95
15-01-2024,44718.0,ODO9R2514,DIESEL     134.88  96.38,13000.0,9625208.95
15-01-2024,44719.0,OD09Q2922,DIESEL     155.63  96.38,15000.0,9640208.95
15-01-2024,44720.0,O0D14G9595,DIESEL     155.63  96.38,15000.0,9655208.95
15-01-2024,44721.0,ODO9D0295,DIESEL     155.63  96.38,15000.0,9670208.95
15-01-2024,44722.0,ODO9P1217,DIESEL     134.88  96.38,13000.0,9683208.95
15-01-2024,44723.0,OR11J8219,DIESEL     145.26  96.38,14000.0,9697208.95
15-01-2024,44724.0,OD09B1999,DIESEL     166.01  96.38,16000.0,9713208.95
15-01-2024,44725.0,ODO9H1044,DIESEL     155.63  96.38,15000.0,9728208.95
15-01-2024,44726.0,OD09B8146,DIESEL     155.63  96.38,15000.0,9743208.95
15-01-2024,44727.0,OD09Q2716,DIESEL     145.26  96.38,14000.0,9757208.95
15-01-2024,44728.0,ODO9P3735,DIESEL     145.26  96.38,14000.0,9771208.95
15-01-2024,44729.0,OR15R2655,DIESEL     155.63  96.38,15000.0,9786208.95
15-01-2024,44730.0,OD096922,DIESEL     155.63  96.38,15000.0,9801208.95
15-01-2024,44731.0,ODO9B6805,DIESEL     145.26  96.38,14000.0,9815208.95
15-01-2024,44732.0,ODO9M6306,DIESEL     145.26  96.38,14000.0,9829208.95
15-01-2024,44733.0,0D23D3288,DIESEL     145.26  96.38,14000.0,9843208.95
15-01-2024,44734.0,OD16C6010,DIESEL     155.63  96.38,15000.0,9858208.95
15-01-2024,44735.0,ODO9R1410,DIESEL     155.63  96.38,15000.0,9873208.95
15-01-2024,44736.0,ODO9RE516,DIESEL     145.26  96.38,14000.0,9887208.95
15-01-2024,44737.0,OD09C8936,DIESEL     145.26  96.38,14000.0,9901208.95
15-01-2024,44738.0,ORO9P5824,DIESEL     134.88  96.38,13000.0,9914208.95
15-01-2024,44739.0,OD14E1148,DIESEL     134.88  96.38,13000.0,9927208.95
15-01-2024,44740.0,,DIESEL     134.88  96.38,13000.0,9940208.95
,,,,,9940208.95
